[0116/120131.358:INFO:CONSOLE(161)] "getAuthServerURL", source: file:///C:/Program%20Files/Cycling%20'74/Max%208/resources/interfaces/www/js/authorize.js (161)
[0116/120131.360:INFO:CONSOLE(164)] "getMaxVersion", source: file:///C:/Program%20Files/Cycling%20'74/Max%208/resources/interfaces/www/js/authorize.js (164)
[0116/120131.421:INFO:CONSOLE(167)] "getTheme", source: file:///C:/Program%20Files/Cycling%20'74/Max%208/resources/interfaces/www/js/authorize.js (167)
[0116/120131.530:INFO:CONSOLE(169)] "theme", source: file:///C:/Program%20Files/Cycling%20'74/Max%208/resources/interfaces/www/js/authorize.js (169)
[0116/120131.610:INFO:CONSOLE(171)] "connecting to https://auth.cycling74.com/1.1", source: file:///C:/Program%20Files/Cycling%20'74/Max%208/resources/interfaces/www/js/authorize.js (171)
[0116/120131.610:INFO:CONSOLE(172)] " main web: https://cycling74.com", source: file:///C:/Program%20Files/Cycling%20'74/Max%208/resources/interfaces/www/js/authorize.js (172)
[0116/120131.657:INFO:CONSOLE(178)] "https", source: file:///C:/Program%20Files/Cycling%20'74/Max%208/resources/interfaces/www/js/authorize.js (178)
[0116/120131.657:INFO:CONSOLE(181)] "starting", source: file:///C:/Program%20Files/Cycling%20'74/Max%208/resources/interfaces/www/js/authorize.js (181)
[0116/120139.864:INFO:CONSOLE(1)] "location", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120139.866:INFO:CONSOLE(1)] "doing startup", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120141.282:INFO:CONSOLE(1)] "got maxversion", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120141.282:INFO:CONSOLE(1)] "reauthing", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120141.355:INFO:CONSOLE(1)] "authDict", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120141.356:INFO:CONSOLE(1)] "authStatus", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120259.896:INFO:CONSOLE(1)] "post", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120328.161:INFO:CONSOLE(1)] "post", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120338.518:INFO:CONSOLE(1)] "post", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120456.586:INFO:CONSOLE(1)] "post", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120459.341:INFO:CONSOLE(1)] "post", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120459.658:INFO:CONSOLE(1)] "post", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120500.115:INFO:CONSOLE(1)] "post", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120500.438:INFO:CONSOLE(1)] "get", source: https://cycling74.com/build.js?v=2.0.50 (1)
[0116/120539.322:INFO:CONSOLE(0)] "Uncaught (in promise) Timeout", source: https://cycling74.com/auth?inMax=1 (0)
